デスノート
進撃の巨人
ソードアート・オンライン
Angel Beats!（エンジェルビーツ）
ワンパンマン
コードギアス 反逆のルルーシュ
とらドラ！
鋼の錬金術師 FULLMETAL ALCHEMIST
ノーゲーム・ノーライフ
東京喰種-トーキョーグール-
千と千尋の神隠し
ナルト
STEINS;GATE
君の名は。
コードギアス 反逆のルルーシュ 続編
僕のヒーローアカデミア
未来日記
エルフェンリート
ノラガミ
学園黙示録 HIGHSCHOOL OF THE DEAD
アナザー
青の祓魔師(エクソシスト)
僕だけがいない街
あの日見た花の名前を僕達はまだ知らない。
CLANNAD
Re：ゼロから始める異世界生活
進撃の巨人 Season2
ソードアート・オンライン II
聲の形
僕のヒーローアカデミア
この素晴らしい世界に祝福を！
はたらく魔王さま!
鋼の錬金術師
化物語
四月は君の嘘
アカメが斬る！
新世紀エヴァンゲリオン
天元突破グレンラガン
魔法少女まどか★マギカ
ハウルの動く城
東京喰種√A
寄生獣 セイの格率
七つの大罪
やはり俺の青春ラブコメはまちがっている。
デュラララ!!
フェイト/ゼロ
涼宮ハルヒの憂鬱
デス・パレード
中二病でも恋がしたい!
CLANNAD〜AFTER STORY〜 クラナド アフターストーリー
もののけ姫
秒速５センチメートル
ダンジョンに出会いを求めるのは間違っているだろうか
ハイスクールD×D
けいおん!
サイコパス
食戟のソーマ
Charlotte（シャーロット）
キルラキル
ソウルイーター
デッドマン・ワンダーランド
モブサイコ100
HUNTER×HUNTER（ハンター×ハンター）
カウボーイビバップ
フェイト/ゼロ 2ndシーズン
ノラガミ ARAGOTO
鬼滅の刃
オーバーロード
この素晴らしい世界に祝福を！ 2
時をかける少女
桜蘭高校ホスト部
さくら荘のペットな彼女
暗殺教室
会長はメイド様!
僕のヒーローアカデミア
Fate/stay night
ギルティクラウン
ドラゴンボールZ
ハイキュー!!
進撃の巨人 Season3
ゼロの使い魔
となりのトトロ
となりの怪物くん
ニセコイ
残響のテロル
俺の妹がこんなに可愛いわけがない
僕は友達が少ない
氷菓
Darker than BLACK -黒の契約者-
やはり俺の青春ラブコメはまちがっている。続
サムライチャンプルー
境界の彼方
BTOOOM!
進撃の巨人 Season3 Part.2
約束のネバーランド
FAIRY TAIL（フェアリーテイル）
偽物語
Fate/stay night [Unlimited Blade Works]
終わりのセラフ
黒執事
黒子のバスケ
ログ・ホライズン
BLACK LAGOON
デート・ア・ライブ
月刊少女野崎くん
ひぐらしのなく頃に
食戟のソーマ 弍ノ皿
狼と香辛料
言の葉の庭
ドラゴンボール
ジョジョの奇妙な冒険
フリクリ
ReLIFE
ロザリオとバンパイア
ハイスクールD×D NEW
かぐや様は告らせたい～天才たちの恋愛頭脳戦～
新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION
ダンガンロンパ 希望の学園と絶望の高校生 THE ANIMATION
バッカーノ！
BLEACH - ブリーチ -
神のみぞ知るセカイ
とある魔術の禁書目録
